format, room, teacher, time, title, type, 
Очный,"ауд.4402/1(усл.), ул.Ломоносова, д.9, лит.B",Королева Екатерина Александровна,13:30-15:00,Фитнес(функциональная тренировка),Спорт
Очный,"ауд.1419(бывш.466), Кронверский пр., д.49, лит.А",18:40-20:10,Дискретная математика,Лекция
Очный,"ауд.2316(бывш.314), Кронверский пр., д.49, лит.А",Карпов Дмитрий Валерьевич,20:20-21:50,Дискретная математика,Практика
